address,total_received_sol,total_sent_sol,net_flow_sol,tx_count,depth,is_endpoint,cluster
Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,26.104548391,10924.900342640,-10898.795794249,655,0,false,CLUSTER_0
Dmmq1SX3fwThVeHKyH3Y7ri1ZkqVErvn2iqT76KEWvWm,0.002074080,0.000000000,0.002074080,2,1,true,N/A
GWrVKdMZJ2urFC6JAMhszCo8EAUiKdvF5UgKvv49aVes,11.325738400,1.299920000,10.025818400,5,1,false,N/A
ADRwVdjPyEuBqPo4w1M1tYjUB2tDboF8Y6dA34PnvHvY,3030.825005320,309.430173560,2721.394831760,246,2,false,CLUSTER_1
7p4ChEwzZtKPucregfJ3DLyEmQh6PXjuKNht87sopM7r,26.611232976,203.985497142,-177.374264166,785,3,false,CLUSTER_2
AwvZsBR41yy7aJ7qdtpzkU1sVqhNzfapgWsBjJBW5pQe,23.248606121,313.518865145,-290.270259024,490,3,false,CLUSTER_3
HfAGg8W5CDFwZyR7WuPxjkY4Cm5CuyVHFhsALmQEMEwv,84.683532970,39.384489101,45.299043869,749,3,false,CLUSTER_4
9N5YVrbNaBwHT4rUL1fRZNHSZjo1SdqbAQpwV7c64Zdb,52.255198021,812.794069017,-760.538870996,502,3,false,CLUSTER_5
Hae9o4JK2AC7z89wXbNwkE6BEvuK5uYa4TJ4AMsDwnEd,93.058333285,227.223455000,-134.165121715,972,2,false,CLUSTER_6
pohJj8FSmifd5V2kpgbzekrnnwZ89LmDg7kEFEu5vuW,0.004900000,0.005100969,-0.000200969,2000,3,false,CLUSTER_7
po27vzv7pSZYsroDopmGVVBVAqxg4GcyZXxmCkoejFB,0.005100000,0.004900931,0.000199069,2000,3,false,CLUSTER_8
4nwo8GwRoN2ApZe6NXGBT8sFCmrFLfDNNas7pBhXoWi7,0.001250000,0.000010000,0.001240000,2,3,false,N/A
4nwoV3xp9pNcw22dHWAK1kjJaRAbSzkTf1ttsgLXoWi7,53.784523207,3.740935207,50.043588000,584,3,false,CLUSTER_9
7p4Ccnom4DNJeQ6ANaAWrN5chz9hdEuFn9r4iAkopM7r,0.002600000,0.000590000,0.002010000,61,3,false,CLUSTER_10
GAEuZCMpji51JRV88kpnPZkYeowFSARSUKD6jHjWauMA,16.371973617,162.834594800,-146.462621183,567,2,false,CLUSTER_11
GWr8K8X6FTgkY2H1qm4jn9BXeSF5TUbMLPrs5sKg9Bes,0.001300000,0.000010000,0.001290000,2,3,false,N/A
DryJ3M5eKUmQBQ24cqJgBit8CcTXuEKAU9jnipWaFfNd,11.911490193,1.743540190,10.167950003,71,3,false,CLUSTER_12
BLsXifsyQKbicuRUiEnvsrKa4uCtP3XqyKVQaaiuXuHL,0.000000000,0.552728612,-0.552728612,814,3,false,CLUSTER_13
CyL8mfycXYbWHVoTTsfvnAfF2MvfcqeQAmmsqNQLxF7g,0.019600002,0.000000000,0.019600002,986,3,true,CLUSTER_14
68PwfUtJxebi74FpMDXuDKSJC87vSqDEdFTuK2uBuTBW,0.002074080,0.000000000,0.002074080,2,1,true,N/A
Gpg793bwoHH2tUFbVD7AxUCNkQhCjwAy3qWQL9ERwiGN,57.387310000,45.582220000,11.805090000,8,1,false,N/A
HaeF1RthZAn9Dg53mPNdLuBk8AUc3qpYjS7MrjhUo8Ed,0.002415000,0.000920000,0.001495000,94,2,false,CLUSTER_15
AQLEJojYhyrx9DJndM84LNU6bgujKfsMqxGQdBj223Kd,32.000120014,485.828290000,-453.828169986,365,3,false,CLUSTER_16
BrbRNVaUePvV62Mu7Bt4EP8vGJrF4i7E5w23H3PnvVTD,72.589960010,60.000001000,12.589959010,51,3,false,CLUSTER_17
6nGmNAvaXsewCRBWUTo6oJHqRybmRYkMXiS1aJR5EPPV,63.949688796,492.964949766,-429.015260970,549,3,false,CLUSTER_18
4gKjjye5GDXR15s1VgB3ZMKVBf97H4DUfAZcst4KSRdW,707.005385499,646.269542100,60.735843399,231,2,false,CLUSTER_19
AeZAA69DbQn35A2FiamfTXGoKHxPPsXZ51gcF1zy76ZP,111.637585287,92.512446902,19.125138385,201,3,false,CLUSTER_20
4eReR5Yzzs8VGRMmdkaz7g3AM88mcgna4DnUMVrSDdPg,115779357.959152743,124816634.016215652,-9037276.057062913,1191,3,false,CLUSTER_21
9mXwZ3DnqHkATbXqdPHzBLMCxBundT78SEFitHNZWMkQ,42153964.264068253,43657250.596722290,-1503286.332654032,852,3,false,CLUSTER_22
9peCv9uguQibVnjXKpLsbRfXFodCmnUVM2ZMfo9ktbW6,25022.682195324,15842.759808228,9179.922387096,542,3,false,CLUSTER_23
FRQNxLaFjjdJohoZVzmoWUEgHhdzQQMXbhoWKrQ5QMDv,66809325.579758935,81815735.008333907,-15006409.428574968,1308,3,false,CLUSTER_24
2HZ2NwxLusxEfuLoUnME4GNEeUj8iGmkdSghoELU5KjW,0.000000000,4.438310021,-4.438310021,1668,1,false,CLUSTER_25
Mihso7kXXNPb7GUZ71H7MedYrpW88MTQFdLKrtAnDvj,0.717418728,0.940200000,-0.222781272,252,2,false,CLUSTER_26
2Zz6ux5D9JZJpoyeRDyqTSwqEG372MarkWrWAMeNkgzA,0.020005000,0.000000000,0.020005000,1,3,true,N/A
