signature,timestamp,from,to,amount_sol,depth,path
derNyggH73kPvFr682Nyu4idUxugac62RNLDFbULyFK27UA7nrhftewgxGNSQNeCBCsnrK2qazg9Gg6MTJUWf2d,2026-02-16T13:05:44.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,Dmmq1SX3fwThVeHKyH3Y7ri1ZkqVErvn2iqT76KEWvWm,0.002154079,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
4bq8ebJLVdXacQ2Y5BGv9UNhCJFKe2p1erEfN5kuhjBNc3jbgmTY8fDifNm1CKmdxtYvEvTaq6N2jPPwgvRdax1Y,2026-02-16T13:05:29.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,68PwfUtJxebi74FpMDXuDKSJC87vSqDEdFTuK2uBuTBW,0.002154079,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
356c2etCq6nYEf3S3qMSBv5Kywckd8ZrDevGvkTWEwJgDvTT7FpC3azzc7At9n9rw3HMd1SR1F4CwXEkKe7pENcq,2026-02-14T01:54:13.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,GedU7SaXtkak2nWH2EuwaV6ycMM1zwLK2nbA7bmvhBk4,0.002154079,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
5vTzNXXgqG1ZKx9Eq6dAb3EgaUw5v4gXXjUxXvyaG3geqxBureoyERCs5ZJgfUYALu4prK8CP1mhdYmcZHUW4Lvw,2026-02-13T17:25:39.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,Esxn9xF9iaHydn6QQVSyUCqnzWZAeay9tNPHaVbkUi6j,0.002154079,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
65s7BKsdqq7TFsbkpQcVSy9r4Zi5EK4q2X1YiSuFYcePBUGZTSHJvnU9UFf6ei1Gd4rKeG11u6uo6R921ziwFE8i,2026-02-13T13:10:51.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,2tzUphYzGZRpmEnFjtoC9uWjQcHhiLR8QfzwiMcPSvhb,0.002154079,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
2ArB688AHrtuVkVnPDxkJXttuT3jJpg2QkrMWDuJzB2HPd82DwsDUupf3eyPHAKwfcKWGnXCyxpXj6sGdvCEdwq4,2026-02-11T07:22:21.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,9RNyrKoDXZSAn2VT4MMQeeRRMxW8xCg6XF8ZNe6iRjQT,0.002154079,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
5HkwTFjd3jWAiNdSbkSNi6yc9uic447qx98rFeaEUcFKddHf1atYArjzQpxKLFFJiL3cvuRM7HpfFGvV7aWUZYai,2026-02-11T02:34:46.000Z,BrbRKpkhHMGjnoAMzxj5iZzLskjrfeZrGK9HejZnvVTD,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,0.000015000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
24SvLTAwT5PWs4BDjdfHh89ms4z4E8Fk8PdmEJvMvyDSVEH7LskBf3EnSiPNbqcp1jwHkv55978aCJYzLqSYGrk4,2026-02-11T02:33:54.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,BrbRNVaUePvV62Mu7Bt4EP8vGJrF4i7E5w23H3PnvVTD,0.250080000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
3qpfFUmvqUtMuqSrV3aMZiRFnNDRWw1kRiomW4MUFqv4QScjXwXrYh7nMHYDDRJisCMBBFAc62d89xVVRdsuZeiH,2026-02-10T04:47:16.000Z,po27vzv7pSZYsroDopmGVVBVAqxg4GcyZXxmCkoejFB,pohJj8FSmifd5V2kpgbzekrnnwZ89LmDg7kEFEu5vuW,0.000105019,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
3qtTE2thy9UpjLhkgVVGtWtPk9jomtuPiSKtni3vfCdHKsLUJAVkRYSxQsRbt1h6SNGgXBgpgLQn4LPAhBNHAszL,2026-02-10T04:44:12.000Z,po27vzv7pSZYsroDopmGVVBVAqxg4GcyZXxmCkoejFB,pohJj8FSmifd5V2kpgbzekrnnwZ89LmDg7kEFEu5vuW,0.000105019,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
