signature,timestamp,from,to,amount_sol,type,status
derNyggH73kPvFr682Nyu4idUxugac62RNLDFbULyFK27UA7nrhftewgxGNSQNeCBCsnrK2qazg9Gg6MTJUWf2d,2026-02-16T13:05:44.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,Dmmq1SX3fwThVeHKyH3Y7ri1ZkqVErvn2iqT76KEWvWm,0.00207408,SOL,success
derNyggH73kPvFr682Nyu4idUxugac62RNLDFbULyFK27UA7nrhftewgxGNSQNeCBCsnrK2qazg9Gg6MTJUWf2d,2026-02-16T13:05:44.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,GWrVKdMZJ2urFC6JAMhszCo8EAUiKdvF5UgKvv49aVes,10,TOKEN,success
4bq8ebJLVdXacQ2Y5BGv9UNhCJFKe2p1erEfN5kuhjBNc3jbgmTY8fDifNm1CKmdxtYvEvTaq6N2jPPwgvRdax1Y,2026-02-16T13:05:29.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,68PwfUtJxebi74FpMDXuDKSJC87vSqDEdFTuK2uBuTBW,0.00207408,SOL,success
4bq8ebJLVdXacQ2Y5BGv9UNhCJFKe2p1erEfN5kuhjBNc3jbgmTY8fDifNm1CKmdxtYvEvTaq6N2jPPwgvRdax1Y,2026-02-16T13:05:29.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,Gpg793bwoHH2tUFbVD7AxUCNkQhCjwAy3qWQL9ERwiGN,10,TOKEN,success
4u6Sbgs82fmWEuvZPgsgMzSoYV6oo5Eh7y4eZd2RVhGpzsmM2TfiJfUt9adVBobZEHuVgBw2dnNQpdLt6LY7tkPE,2026-02-14T01:54:14.000Z,2HZ2NwxLusxEfuLoUnME4GNEeUj8iGmkdSghoELU5KjW,DNWfF9xZ4pev8iGYeGEvTthVfDhkWFAw1fQ5pWNF2R2v,1e-9,SOL,success
4u6Sbgs82fmWEuvZPgsgMzSoYV6oo5Eh7y4eZd2RVhGpzsmM2TfiJfUt9adVBobZEHuVgBw2dnNQpdLt6LY7tkPE,2026-02-14T01:54:14.000Z,2HZ2NwxLusxEfuLoUnME4GNEeUj8iGmkdSghoELU5KjW,6HqrrkPuEzGNB4Y8wBBHEXB5B7UT5zmpiUB3EpaEe3ew,1e-9,SOL,success
4u6Sbgs82fmWEuvZPgsgMzSoYV6oo5Eh7y4eZd2RVhGpzsmM2TfiJfUt9adVBobZEHuVgBw2dnNQpdLt6LY7tkPE,2026-02-14T01:54:14.000Z,2HZ2NwxLusxEfuLoUnME4GNEeUj8iGmkdSghoELU5KjW,9NVHDA7JbrV3g3GUAwddryJ8VDEaqHUw4Cx2cfmxPk9s,1e-9,SOL,success
4u6Sbgs82fmWEuvZPgsgMzSoYV6oo5Eh7y4eZd2RVhGpzsmM2TfiJfUt9adVBobZEHuVgBw2dnNQpdLt6LY7tkPE,2026-02-14T01:54:14.000Z,2HZ2NwxLusxEfuLoUnME4GNEeUj8iGmkdSghoELU5KjW,GBT7RDTjMktNE22UXYuBXinrKV9Eh6wcDzbCNfx2sTET,1e-9,SOL,success
4u6Sbgs82fmWEuvZPgsgMzSoYV6oo5Eh7y4eZd2RVhGpzsmM2TfiJfUt9adVBobZEHuVgBw2dnNQpdLt6LY7tkPE,2026-02-14T01:54:14.000Z,2HZ2NwxLusxEfuLoUnME4GNEeUj8iGmkdSghoELU5KjW,9BvpGCkrPJ18AJG4N2kCdNRRgoMMZRPbDJYtG6FsPsVh,1e-9,SOL,success
4u6Sbgs82fmWEuvZPgsgMzSoYV6oo5Eh7y4eZd2RVhGpzsmM2TfiJfUt9adVBobZEHuVgBw2dnNQpdLt6LY7tkPE,2026-02-14T01:54:14.000Z,2HZ2NwxLusxEfuLoUnME4GNEeUj8iGmkdSghoELU5KjW,5ohHnr1iZDHqGVPyr39tft1TWAW7ZY3FsHHAwNpRMcAs,1e-9,SOL,success
4u6Sbgs82fmWEuvZPgsgMzSoYV6oo5Eh7y4eZd2RVhGpzsmM2TfiJfUt9adVBobZEHuVgBw2dnNQpdLt6LY7tkPE,2026-02-14T01:54:14.000Z,2HZ2NwxLusxEfuLoUnME4GNEeUj8iGmkdSghoELU5KjW,9HZZFRbqoCRQJZ3XVQgGyYP1NK9kUDmZJ3VcCQNTqTsW,1e-9,SOL,success
4u6Sbgs82fmWEuvZPgsgMzSoYV6oo5Eh7y4eZd2RVhGpzsmM2TfiJfUt9adVBobZEHuVgBw2dnNQpdLt6LY7tkPE,2026-02-14T01:54:14.000Z,2HZ2NwxLusxEfuLoUnME4GNEeUj8iGmkdSghoELU5KjW,CSX8qxm3QdcWKBTKiBQyhjbbsEHhzZGp52Qn3dpkkp1q,1e-9,SOL,success
4u6Sbgs82fmWEuvZPgsgMzSoYV6oo5Eh7y4eZd2RVhGpzsmM2TfiJfUt9adVBobZEHuVgBw2dnNQpdLt6LY7tkPE,2026-02-14T01:54:14.000Z,2HZ2NwxLusxEfuLoUnME4GNEeUj8iGmkdSghoELU5KjW,GR2bieCPweffoTEHkeNekFAJHPL3rLC87R248GuQdL2Q,1e-9,SOL,success
4u6Sbgs82fmWEuvZPgsgMzSoYV6oo5Eh7y4eZd2RVhGpzsmM2TfiJfUt9adVBobZEHuVgBw2dnNQpdLt6LY7tkPE,2026-02-14T01:54:14.000Z,2HZ2NwxLusxEfuLoUnME4GNEeUj8iGmkdSghoELU5KjW,F6dcUiStHf4fiWRGVnNFPKK7vqbvmscEQuSdpTaP97Sz,1e-9,SOL,success
4u6Sbgs82fmWEuvZPgsgMzSoYV6oo5Eh7y4eZd2RVhGpzsmM2TfiJfUt9adVBobZEHuVgBw2dnNQpdLt6LY7tkPE,2026-02-14T01:54:14.000Z,2HZ2NwxLusxEfuLoUnME4GNEeUj8iGmkdSghoELU5KjW,EjHvnhJgcf6hpbUesaAmxnN5VtmpwW9Cm34jFVom1nzN,1e-9,SOL,success
4u6Sbgs82fmWEuvZPgsgMzSoYV6oo5Eh7y4eZd2RVhGpzsmM2TfiJfUt9adVBobZEHuVgBw2dnNQpdLt6LY7tkPE,2026-02-14T01:54:14.000Z,2HZ2NwxLusxEfuLoUnME4GNEeUj8iGmkdSghoELU5KjW,DbbLfckKgnKuEf1pKzGK9XeoS2hnd1m8Je4UsRNYKQsf,1e-9,SOL,success
4u6Sbgs82fmWEuvZPgsgMzSoYV6oo5Eh7y4eZd2RVhGpzsmM2TfiJfUt9adVBobZEHuVgBw2dnNQpdLt6LY7tkPE,2026-02-14T01:54:14.000Z,2HZ2NwxLusxEfuLoUnME4GNEeUj8iGmkdSghoELU5KjW,67nkJ7cJGrxBfMzkz5cTbgd9yQWSVUKJtX1n1rxohENU,1e-9,SOL,success
4u6Sbgs82fmWEuvZPgsgMzSoYV6oo5Eh7y4eZd2RVhGpzsmM2TfiJfUt9adVBobZEHuVgBw2dnNQpdLt6LY7tkPE,2026-02-14T01:54:14.000Z,2HZ2NwxLusxEfuLoUnME4GNEeUj8iGmkdSghoELU5KjW,8YYFHWThSSH97jzFaAJXbL4xheGHEv3M7B5yuJSNbkpM,1e-9,SOL,success
4u6Sbgs82fmWEuvZPgsgMzSoYV6oo5Eh7y4eZd2RVhGpzsmM2TfiJfUt9adVBobZEHuVgBw2dnNQpdLt6LY7tkPE,2026-02-14T01:54:14.000Z,2HZ2NwxLusxEfuLoUnME4GNEeUj8iGmkdSghoELU5KjW,gUqkoLFrUnP3SZvbSb62wb77JqmLJ9HdW8J4Vji4Nr2,1e-9,SOL,success
4u6Sbgs82fmWEuvZPgsgMzSoYV6oo5Eh7y4eZd2RVhGpzsmM2TfiJfUt9adVBobZEHuVgBw2dnNQpdLt6LY7tkPE,2026-02-14T01:54:14.000Z,2HZ2NwxLusxEfuLoUnME4GNEeUj8iGmkdSghoELU5KjW,DzsnYAEKWUEMfN24vPvj7x36MDWFeW49dSQM598rpMue,1e-9,SOL,success
4u6Sbgs82fmWEuvZPgsgMzSoYV6oo5Eh7y4eZd2RVhGpzsmM2TfiJfUt9adVBobZEHuVgBw2dnNQpdLt6LY7tkPE,2026-02-14T01:54:14.000Z,2HZ2NwxLusxEfuLoUnME4GNEeUj8iGmkdSghoELU5KjW,43aSU6RzJB6vURXLzTWPaqYu67tKHniWizs4bHVoUc8C,1e-9,SOL,success
4u6Sbgs82fmWEuvZPgsgMzSoYV6oo5Eh7y4eZd2RVhGpzsmM2TfiJfUt9adVBobZEHuVgBw2dnNQpdLt6LY7tkPE,2026-02-14T01:54:14.000Z,2HZ2NwxLusxEfuLoUnME4GNEeUj8iGmkdSghoELU5KjW,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,1e-9,SOL,success
53UmcjcpYi4C2QaXtrHDSJyr5HyCuS8XykKY8GxMY4HUbZK84GmapcASkarxtVn7AwxbSpcatR56UJjY8C28yTBH,2026-02-14T01:54:14.000Z,Dvx4pDrFBWx79MB5VJwQawwugoDrkHUNogFXzmp8XU6m,DNWfF9xZ4pev8iGYeGEvTthVfDhkWFAw1fQ5pWNF2R2v,1e-9,SOL,success
